month,from,to,distance_km,start_time,end_time
2,Zemendorf-Stöttera,Weppersdorf,19.52,2024-02-08T08:01:05Z,2024-02-08T08:21:28Z
2,Weppersdorf,Kaisersdorf,5.87,2024-02-08T11:08:18Z,2024-02-08T11:17:39Z
2,Kaisersdorf,Mattersburg,23.35,2024-02-08T11:28:40Z,2024-02-08T11:51:43Z
2,Mattersburg,Weppersdorf,18.03,2024-02-08T13:30:04Z,2024-02-08T13:54:12Z
2,Weppersdorf,Weppersdorf,0.32,2024-02-09T12:52:13Z,2024-02-09T13:30:20Z
2,Weppersdorf,Weppersdorf,0.94,2024-02-09T13:54:25Z,2024-02-09T14:06:30Z
2,Weppersdorf,Weppersdorf,0.47,2024-02-10T14:00:14Z,2024-02-10T14:18:39Z
2,Weppersdorf,Enns,162.36,2024-02-13T09:11:03Z,2024-02-13T11:11:15Z
2,Enns,Schörfling am Attersee,66.39,2024-02-13T11:17:15Z,2024-02-13T12:02:05Z
2,Schörfling am Attersee,Salzburg,45.17,2024-02-13T12:08:05Z,2024-02-13T12:42:00Z
2,Salzburg,Hall in Tirol,134.35,2024-02-13T12:48:05Z,2024-02-13T14:31:02Z
2,Hall in Tirol,Thaur,0.36,2024-02-13T14:38:09Z,2024-02-13T14:42:11Z
2,Thaur,Reutte,60.42,2024-02-13T14:50:43Z,2024-02-13T16:11:21Z
2,Reutte,Bach,34.83,2024-02-13T16:44:22Z,2024-02-13T17:21:04Z
2,Bach,Bach,0.27,2024-02-14T09:52:32Z,2024-02-14T09:58:35Z
2,Bach,Bach,1.59,2024-02-14T10:10:42Z,2024-02-14T10:12:43Z
2,Bach,Bach,1.53,2024-02-14T10:56:04Z,2024-02-14T11:10:07Z
2,Bach,Holzgau,3.15,2024-02-14T16:04:59Z,2024-02-14T16:19:00Z
2,Holzgau,Bach,3.14,2024-02-14T19:07:37Z,2024-02-14T19:19:44Z
2,Bach,Untergiblen,3.79,2024-02-15T09:09:33Z,2024-02-15T09:19:37Z
2,Untergiblen,Bach,3.8,2024-02-15T15:36:24Z,2024-02-15T16:03:05Z
2,Bach,Bach,0.71,2024-02-15T16:21:10Z,2024-02-15T16:29:12Z
2,Bach,Innsbruck,76.44,2024-02-16T09:30:33Z,2024-02-16T11:42:33Z
2,Innsbruck,Innsbruck,1.34,2024-02-16T13:57:29Z,2024-02-16T14:05:32Z
2,Innsbruck,Innsbruck,0.61,2024-02-16T14:14:05Z,2024-02-16T14:16:06Z
2,Innsbruck,Vomp,25.35,2024-02-16T14:22:09Z,2024-02-16T15:00:25Z
2,Vomp,Weppersdorf,356.09,2024-02-16T15:36:45Z,2024-02-16T20:30:59Z
2,Weppersdorf,Stoob,7.19,2024-02-17T07:53:36Z,2024-02-17T08:11:11Z
2,Stoob Süd,Weppersdorf,9.19,2024-02-17T08:36:47Z,2024-02-17T09:04:41Z
2,Weppersdorf,Stoob Süd,9.36,2024-02-19T08:13:15.496Z,2024-02-19T10:34:40Z
2,Stoob Süd,Kaisersdorf,8.0,2024-02-19T11:09:10Z,2024-02-19T11:19:14Z
2,Kaisersdorf,Weppersdorf,5.8,2024-02-19T11:29:20Z,2024-02-19T11:39:22Z
2,Weppersdorf,Horitschon,9.25,2024-02-20T08:25:38Z,2024-02-20T08:50:55Z
2,Horitschon,Weppersdorf,9.12,2024-02-20T09:27:38Z,2024-02-20T09:39:41Z
2,Weppersdorf,Stoob Süd,9.06,2024-02-20T09:47:31Z,2024-02-20T10:05:15Z
2,Stoob Süd,Weppersdorf,8.75,2024-02-20T10:28:43Z,2024-02-20T10:44:50Z
2,Weppersdorf,Weppersdorf,0.05,2024-02-21T07:18:54Z,2024-02-21T07:47:21Z
2,Weppersdorf,Kaisersdorf,5.92,2024-02-21T11:03:16Z,2024-02-21T11:13:30Z
2,Kaisersdorf,Weppersdorf,5.94,2024-02-21T11:21:43Z,2024-02-21T11:35:48Z
2,Weppersdorf,Kaisersdorf,5.84,2024-02-22T11:02:45Z,2024-02-22T11:15:15Z
2,Kaisersdorf,Weppersdorf,5.94,2024-02-22T11:25:17Z,2024-02-22T11:51:26Z
2,Weppersdorf,Weppersdorf,1.01,2024-02-22T17:13:31Z,2024-02-22T17:17:31Z
2,Weppersdorf,Weppersdorf,0.45,2024-02-22T17:28:04Z,2024-02-22T17:28:45Z
2,Weppersdorf,Stoob Süd,9.99,2024-02-23T08:48:39Z,2024-02-23T09:04:45Z
2,Oberpullendorf/Felsőpulya,Weppersdorf,9.43,2024-02-23T09:16:48Z,2024-02-23T09:43:28Z
2,Weppersdorf,Weppersdorf,0.9,2024-02-23T09:58:03Z,2024-02-23T10:12:07Z
2,Weppersdorf,Weppersdorf,0.43,2024-02-23T15:48:21Z,2024-02-23T16:06:26Z
2,Weppersdorf,Stoob Süd,9.3,2024-02-24T10:09:36Z,2024-02-24T10:26:01Z
2,Stoob Süd,Stoob Süd,0.97,2024-02-24T10:38:06Z,2024-02-24T10:42:06Z
2,Stoob Süd,Weppersdorf,10.24,2024-02-24T11:08:46Z,2024-02-24T11:22:51Z
2,Weppersdorf,Horitschon,9.23,2024-02-26T08:39:18Z,2024-02-26T08:54:25Z
2,Horitschon,Weppersdorf,9.24,2024-02-26T10:59:09Z,2024-02-26T11:21:18Z
2,Weppersdorf,Oberpullendorf/Felsőpulya,11.91,2024-02-28T06:57:58Z,2024-02-28T07:38:03Z
2,Oberpullendorf/Felsőpulya,Weppersdorf,11.82,2024-02-28T08:15:12Z,2024-02-28T08:31:19Z
2,Weppersdorf,Kaisersdorf,5.82,2024-02-28T11:09:07Z,2024-02-28T11:23:24Z
2,Kaisersdorf,Weppersdorf,5.92,2024-02-28T11:32:11Z,2024-02-28T11:42:56Z
3,Weppersdorf,Weppersdorf,0.33,2024-03-02T15:38:30Z,2024-03-02T16:03:01Z
3,Weppersdorf,Kaisersdorf,5.94,2024-03-04T11:06:57Z,2024-03-04T11:35:20Z
3,Weppersdorf,Gloggnitz,38.71,2024-03-05T06:02:12Z,2024-03-05T06:59:34Z
3,Gloggnitz,Vienna,64.86,2024-03-05T07:30:11Z,2024-03-05T08:21:29Z
3,Vienna,Vienna,3.38,2024-03-05T08:49:11Z,2024-03-05T09:05:13Z
3,Vienna,Weppersdorf,68.74,2024-03-05T09:52:16Z,2024-03-05T10:56:52Z
3,Wöllersdorf-Steinabrückl,Pranhartsberg,83.76,2024-03-06T11:57:52Z,2024-03-06T13:13:06Z
3,Pranhartsberg,Vienna,50.62,2024-03-06T14:42:21Z,2024-03-06T15:39:02Z
3,Vienna,Vienna,0.31,2024-03-06T15:39:02Z,2024-03-06T15:45:29Z
3,Vienna,Vienna,0.46,2024-03-06T17:32:18Z,2024-03-06T17:44:40Z
3,Vienna,Vienna,6.68,2024-03-06T17:44:40Z,2024-03-06T18:10:34Z
3,Vienna,Weppersdorf,66.59,2024-03-06T18:14:17Z,2024-03-06T19:24:08Z
3,Weppersdorf,Kaisersdorf,5.95,2024-03-07T10:49:15Z,2024-03-07T11:43:32Z
3,Kalkgruben,Weppersdorf,4.28,2024-03-07T12:52:03Z,2024-03-07T12:58:04Z
3,Weppersdorf,Kaisersdorf,5.31,2024-03-08T06:41:18Z,2024-03-08T06:59:06Z
3,Kaisersdorf,Weppersdorf,4.95,2024-03-08T07:05:06Z,2024-03-08T07:39:35Z
3,Weppersdorf,Weppersdorf,1.2,2024-03-08T16:31:48Z,2024-03-08T16:35:49Z
3,Weppersdorf,Weppersdorf,1.22,2024-03-08T16:39:50Z,2024-03-08T16:45:51Z
3,Weppersdorf,Mattersburg,18.06,2024-03-10T08:29:31Z,2024-03-10T08:55:43Z
3,Mattersburg,Weppersdorf,18.06,2024-03-10T08:59:44Z,2024-03-10T09:18:34Z
3,Weppersdorf,Schwechat,60.49,2024-03-10T12:47:15Z,2024-03-10T13:39:16Z
3,Schwechat,el Prat de Llobregat,1368.88,2024-03-10T15:10:25Z,2024-03-10T17:44:07Z
3,el Prat de Llobregat,Barcelona,9.49,2024-03-10T18:43:26Z,2024-03-10T18:55:07Z
3,Barcelona,el Prat de Llobregat,9.66,2024-03-10T20:08:53Z,2024-03-10T20:23:47Z
3,el Prat de Llobregat,Castelldefels,8.98,2024-03-10T20:41:12Z,2024-03-10T20:53:51Z
3,Castelldefels,Castelldefels,0.15,2024-03-10T21:12:01Z,2024-03-10T21:14:21Z
3,Castelldefels,Castelldefels,0.08,2024-03-11T07:04:14Z,2024-03-11T07:45:02Z
3,Gavà,Gavà,0.06,2024-03-11T08:15:00Z,2024-03-11T08:15:50Z
3,Gavà,Gavà,0.31,2024-03-11T12:04:36Z,2024-03-11T12:08:38Z
3,Gavà,Gavà,0.21,2024-03-11T12:34:27Z,2024-03-11T12:36:27Z
3,Gavà,Castelldefels,3.76,2024-03-11T18:08:21Z,2024-03-11T18:19:22Z
3,Castelldefels,Castelldefels,0.41,2024-03-11T18:40:04Z,2024-03-11T18:45:40Z
3,Castelldefels,Castelldefels,0.11,2024-03-11T19:11:18Z,2024-03-11T19:15:20Z
3,Castelldefels,Castelldefels,0.14,2024-03-11T19:59:52Z,2024-03-11T20:03:42Z
3,Castelldefels,Castelldefels,0.2,2024-03-12T07:49:18Z,2024-03-12T07:56:11Z
3,Castelldefels,Gavà,3.77,2024-03-12T07:56:11Z,2024-03-12T08:02:16Z
3,Gavà,Gavà,0.15,2024-03-12T08:02:16Z,2024-03-12T08:10:29Z
3,Gavà,Gavà,0.24,2024-03-12T12:58:12Z,2024-03-12T13:02:13Z
3,Gavà,Gavà,0.22,2024-03-12T14:14:58Z,2024-03-12T14:23:00Z
3,Gavà,Gavà,0.19,2024-03-12T18:12:53Z,2024-03-12T18:23:10Z
3,Gavà,Castelldefels,3.65,2024-03-12T18:39:13Z,2024-03-12T18:49:21Z
3,Castelldefels,Gavà,3.7,2024-03-13T08:06:16Z,2024-03-13T08:10:58Z
3,Gavà,Gavà,0.17,2024-03-13T08:10:58Z,2024-03-13T08:19:18Z
3,Gavà,Gavà,0.65,2024-03-13T12:18:30Z,2024-03-13T12:33:05Z
3,Gavà,Gavà,0.58,2024-03-13T13:21:54Z,2024-03-13T13:26:17Z
3,Gavà,Gavà,0.13,2024-03-13T13:40:20Z,2024-03-13T13:42:21Z
3,Gavà,Castelldefels,3.77,2024-03-13T17:45:51Z,2024-03-13T17:57:53Z
3,Castelldefels,Castelldefels,0.25,2024-03-13T17:57:53Z,2024-03-13T18:01:38Z
3,Castelldefels,Gavà,3.77,2024-03-14T07:47:48Z,2024-03-14T07:56:14Z
3,Gavà,Gavà,0.15,2024-03-14T07:56:14Z,2024-03-14T07:58:13Z
3,Gavà,Gavà,0.63,2024-03-14T12:05:24Z,2024-03-14T12:21:27Z
3,Gavà,Gavà,0.74,2024-03-14T13:08:34Z,2024-03-14T13:22:40Z
3,Gavà,Gavà,0.17,2024-03-14T16:56:47Z,2024-03-14T17:01:06Z
3,Gavà,Barcelona,13.77,2024-03-14T17:06:39Z,2024-03-14T17:28:06Z
3,Barcelona,Barcelona,0.98,2024-03-14T17:34:56Z,2024-03-14T17:48:55Z
3,Barcelona,Barcelona,0.31,2024-03-14T18:39:53Z,2024-03-14T18:49:55Z
3,Barcelona,Barcelona,4.31,2024-03-14T18:49:55Z,2024-03-14T19:10:38Z
3,Barcelona,Barcelona,0.19,2024-03-14T20:26:36Z,2024-03-14T20:43:00Z
3,Barcelona,l'Hospitalet de Llobregat,5.24,2024-03-14T20:43:00Z,2024-03-14T20:57:38Z
3,l'Hospitalet de Llobregat,Castelldefels,15.93,2024-03-14T21:28:36Z,2024-03-14T21:46:26Z
3,Castelldefels,Castelldefels,0.08,2024-03-14T21:46:26Z,2024-03-14T21:48:26Z
3,Castelldefels,Castelldefels,0.05,2024-03-15T07:55:53Z,2024-03-15T08:02:17Z
3,Castelldefels,Gavà,3.77,2024-03-15T08:02:17Z,2024-03-15T08:09:00Z
3,Gavà,Gavà,0.19,2024-03-15T08:09:00Z,2024-03-15T08:13:38Z
3,Gavà,Gavà,0.36,2024-03-15T12:12:54Z,2024-03-15T12:22:59Z
3,Gavà,Gavà,0.26,2024-03-15T13:21:18Z,2024-03-15T13:26:35Z
3,Gavà,Gavà,0.39,2024-03-15T17:28:12Z,2024-03-15T17:41:02Z
3,Gavà,Gavà,2.42,2024-03-15T17:41:02Z,2024-03-15T17:45:03Z
3,Castelldefels,Castelldefels,0.18,2024-03-16T09:27:14Z,2024-03-16T09:27:57Z
3,Castelldefels,Barcelona,20.35,2024-03-16T09:53:33Z,2024-03-16T10:22:58Z
3,Barcelona,Barcelona,1.48,2024-03-16T10:35:10Z,2024-03-16T11:01:52Z
3,Barcelona,Barcelona,0.29,2024-03-16T11:01:52Z,2024-03-16T12:05:26Z
3,Barcelona,Barcelona,1.87,2024-03-16T12:05:26Z,2024-03-16T12:24:42Z
3,Barcelona,Barcelona,0.51,2024-03-16T12:24:42Z,2024-03-16T13:33:37Z
3,Barcelona,Barcelona,0.92,2024-03-16T13:33:37Z,2024-03-16T14:59:38Z
3,Barcelona,Barcelona,1.76,2024-03-16T15:31:44Z,2024-03-16T16:04:27Z
3,Barcelona,Barcelona,0.33,2024-03-16T19:09:18Z,2024-03-16T19:19:20Z
3,Barcelona,Barcelona,0.94,2024-03-16T19:19:20Z,2024-03-16T19:24:24Z
3,Barcelona,Castelldefels,17.42,2024-03-16T19:30:35Z,2024-03-16T19:58:46Z
3,Castelldefels,Castelldefels,0.25,2024-03-16T19:58:46Z,2024-03-16T20:05:07Z
3,Castelldefels,el Prat de Llobregat,8.83,2024-03-17T05:59:58Z,2024-03-17T06:34:22Z
3,el Prat de Llobregat,Schwechat,1369.11,2024-03-17T09:06:16Z,2024-03-17T11:39:44Z
3,Schwechat,Wiener Neustadt,42.21,2024-03-17T12:30:33Z,2024-03-17T13:32:27Z
3,Wiener Neustadt,Weppersdorf,28.83,2024-03-17T13:32:27Z,2024-03-17T14:08:21Z
3,Weppersdorf,Weppersdorf,1.02,2024-03-18T08:55:14Z,2024-03-18T08:57:31Z
3,Weppersdorf,Weppersdorf,1.02,2024-03-18T09:23:48Z,2024-03-18T09:26:34Z
3,Weppersdorf,Kaisersdorf,5.95,2024-03-18T11:12:47Z,2024-03-18T11:20:52Z
3,Kaisersdorf,Weppersdorf,5.97,2024-03-18T11:26:55Z,2024-03-18T11:36:57Z
3,Weppersdorf,Stoob Süd,9.92,2024-03-19T07:07:46Z,2024-03-19T07:31:55Z
3,Stoob Süd,Horitschon,8.57,2024-03-19T07:48:17Z,2024-03-19T07:58:46Z
3,Horitschon,Weppersdorf,9.24,2024-03-19T08:39:53Z,2024-03-19T08:51:57Z
3,Kaisersdorf,Kaisersdorf,0.12,2024-03-20T11:10:25Z,2024-03-20T11:46:55Z
3,Weppersdorf,Weppersdorf,0.01,2024-03-21T11:46:18Z,2024-03-21T12:14:26Z
3,Weppersdorf,Horitschon,9.17,2024-03-22T06:54:56Z,2024-03-22T07:06:59Z
3,Horitschon,Horitschon,1.2,2024-03-22T07:13:00Z,2024-03-22T08:01:04Z
3,Weppersdorf,Weppersdorf,1.19,2024-03-22T08:16:48Z,2024-03-22T08:30:48Z
3,Weppersdorf,Weppersdorf,1.47,2024-03-22T10:40:02Z,2024-03-22T10:46:05Z
3,Weppersdorf,Kaisersdorf,4.72,2024-03-22T10:50:07Z,2024-03-22T11:02:08Z
3,Kaisersdorf,Weppersdorf,5.89,2024-03-22T11:31:53Z,2024-03-22T11:40:39Z
3,Weppersdorf,Weikersdorf am Steinfelde,33.16,2024-03-23T15:58:32Z,2024-03-23T16:49:00Z
3,Weikersdorf am Steinfelde,Weppersdorf,33.17,2024-03-24T03:32:09Z,2024-03-24T04:06:23Z
3,Weppersdorf,Kaisersdorf,5.83,2024-03-25T13:22:41Z,2024-03-25T13:32:46Z
3,Kaisersdorf,Weppersdorf,5.9,2024-03-25T14:25:56Z,2024-03-25T14:36:04Z
3,Weppersdorf,Weppersdorf,1.45,2024-03-25T14:47:29Z,2024-03-25T14:55:32Z
3,Weppersdorf,Weppersdorf,1.12,2024-03-25T15:11:45Z,2024-03-25T15:24:41Z
3,Weppersdorf,Kaisersdorf,5.83,2024-03-26T16:22:30Z,2024-03-26T16:38:06Z
3,Kaisersdorf,Weppersdorf,5.86,2024-03-26T16:45:31Z,2024-03-26T16:57:10Z
3,Weppersdorf,Mattersburg,18.03,2024-03-27T07:40:03Z,2024-03-27T07:57:37Z
3,Mattersburg,Vienna,50.91,2024-03-27T08:04:08Z,2024-03-27T08:57:26Z
